contract_award_unique_key,award_id_piid,total_obligated_amount,current_total_value_of_award,award_base_action_date,award_base_action_date_fiscal_year,awarding_agency_name,awarding_sub_agency_name,recipient_uei,recipient_name,recipient_parent_name,primary_place_of_performance_county_name,primary_place_of_performance_state_code,primary_place_of_performance_state_name,award_type,prime_award_base_transaction_description,naics_code,naics_description,extent_competed,type_of_set_aside,number_of_offers_received
CONT_AWD_SPE4A725F3822_9700_SPE4AX17D9402_9700,SPE4A725F3822,330930.44,330930.44,2025-02-28,2025,Department of Defense,Defense Logistics Agency,L6ZQZ4B82L63,GENTEX CORP,GENTEX CORP,SAN BERNARDINO,CA,CALIFORNIA,DELIVERY ORDER,"8511209676!MASK,OXYGEN",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,
CONT_AWD_SPE4A725F3907_9700_SPE4A122G0010_9700,SPE4A725F3907,1079688.7,1079688.7,2025-03-08,2025,Department of Defense,Defense Logistics Agency,E3HYKKLT5ZT1,GENERAL ELECTRIC COMPANY,GENERAL ELECTRIC COMPANY,ESSEX,MA,MASSACHUSETTS,DELIVERY ORDER,"8511216846!SHROUD,HPT,STATOR",336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,NO SET ASIDE USED.,1.0
CONT_AWD_SPE4A725F4775_9700_SPRPA121G001W_9700,SPE4A725F4775,4133688.21,4133688.21,2025-03-28,2025,Department of Defense,Defense Logistics Agency,N5QUZAYGPKM3,BELL TEXTRON INC,TEXTRON INC,TARRANT,TX,TEXAS,DELIVERY ORDER,"8511270254!GRIP ASSEMBLY,MAIN",336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,NO SET ASIDE USED.,1.0
CONT_AWD_SPE4A725F4816_9700_SPRPA121G001W_9700,SPE4A725F4816,783509.53,783509.53,2025-03-28,2025,Department of Defense,Defense Logistics Agency,N5QUZAYGPKM3,BELL TEXTRON INC,TEXTRON INC,TARRANT,TX,TEXAS,DELIVERY ORDER,"8511272505!GRIP ASSEMBLY,MAIN",336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,NO SET ASIDE USED.,1.0
CONT_AWD_SPE4A725F4905_9700_SPRPA121G001W_9700,SPE4A725F4905,668991.0,668991.0,2025-04-11,2025,Department of Defense,Defense Logistics Agency,N5QUZAYGPKM3,BELL TEXTRON INC,TEXTRON INC,TARRANT,TX,TEXAS,DELIVERY ORDER,8511276908!SHI M,336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,NO SET ASIDE USED.,2.0
CONT_AWD_SPE4A725F5067_9700_SPE4A725D0018_9700,SPE4A725F5067,3027200.0,3027200.0,2025-04-01,2025,Department of Defense,Defense Logistics Agency,J73QK4BTYJJ6,"L3 TECHNOLOGIES, INC.","L3 TECHNOLOGIES, INC.",MARICOPA,AZ,ARIZONA,DELIVERY ORDER,8511286050!IMAGE INTENSIFIER T,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,
CONT_AWD_SPE4A725F5076_9700_SPRPA121G001W_9700,SPE4A725F5076,3269125.97,3269125.97,2025-04-11,2025,Department of Defense,Defense Logistics Agency,N5QUZAYGPKM3,BELL TEXTRON INC,TEXTRON INC,TARRANT,TX,TEXAS,DELIVERY ORDER,"8511286716!GRIP ASSEMBLY,MAIN",336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,NO SET ASIDE USED.,3.0
CONT_AWD_SPE4A725F5573_9700_SPE4A722DC006_9700,SPE4A725F5573,329996.16,329996.16,2025-04-22,2025,Department of Defense,Defense Logistics Agency,ESM9CL75DQG8,"ALLIED DEFENSE INDUSTRIES, LLC","ALLIED DEFENSE INDUSTRIES, LLC",JEFFERSON,WV,WEST VIRGINIA,DELIVERY ORDER,8511333945!MOUNTING LOCKING ME,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,
CONT_AWD_SPE4A725F5673_9700_SPRPA121GCF01_9700,SPE4A725F5673,265199.0,265199.0,2025-04-30,2025,Department of Defense,Defense Logistics Agency,JHFZTG8ZC9V2,BELL BOEING JOINT PROJECT OFFICE,BELL BOEING JOINT PROJECT OFFICE,DELAWARE,PA,PENNSYLVANIA,DELIVERY ORDER,"8511351773!FAN,RCU COOLING,AIR",336411,AIRCRAFT MANUFACTURING,NOT COMPETED UNDER SAP,NO SET ASIDE USED.,1.0
CONT_AWD_SPE4A725F5809_9700_SPE4A725D0047_9700,SPE4A725F5809,291064.2,291064.2,2025-05-09,2025,Department of Defense,Defense Logistics Agency,M8BLN7XW5M86,R & M GOVERNMENT SERVICES INC,R & M GOVERNMENT SERVICES INC,DONA ANA,NM,NEW MEXICO,DELIVERY ORDER,"8511370982!TRUNNION ASSEMBLY,S",336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION,,
