contract_award_unique_key,award_id_piid,total_obligated_amount,current_total_value_of_award,award_base_action_date,award_base_action_date_fiscal_year,awarding_agency_name,awarding_sub_agency_name,recipient_uei,recipient_name,recipient_parent_name,primary_place_of_performance_county_name,primary_place_of_performance_state_code,primary_place_of_performance_state_name,award_type,prime_award_base_transaction_description,naics_code,naics_description,extent_competed,type_of_set_aside,number_of_offers_received,is_drone_related,recipient_parent_name_clean
CONT_AWD_FA238325CB001_9700_-NONE-_-NONE-,FA238325CB001,3247790.18,3251490.18,2024-12-04,2025,Department of Defense,Department of the Air Force,SMDANQJ3BCK8,"VENETIC, INC","VENETIC, INC",MIAMI-DADE,FL,FLORIDA,DEFINITIVE CONTRACT,"THIS REQUIREMENT IS TO PROCURE, INSTALL, INTEGRATE, AND TEST ONE (1) AN/ TPS-70 NEXT GENERATION TRANSMITTER (NGTX) MODERNIZATION KIT FOR THE RADAR LOCATED AT THE CACOM-2 RADAR SITE IN SAN JOSE DEL GUAVIARE, COLOMBIA.",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT AVAILABLE FOR COMPETITION,NO SET ASIDE USED.,1.0,True,"VENETIC, INC"
CONT_AWD_FA480923P0106_9700_-NONE-_-NONE-,FA480923P0106,292471.22,292471.22,2023-09-07,2023,Department of Defense,Department of the Air Force,GJMSFBCNMSK3,"ATLANTIC DIVING SUPPLY, INC.","ADS TACTICAL, INC.",VIRGINIA BEACH CITY,VA,VIRGINIA,PURCHASE ORDER,THIS REQUIREMENT IS TO PURCHASE DRONES WITH TRAINING.,336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,SMALL BUSINESS SET ASIDE - TOTAL,2.0,True,"ADS TACTICAL, INC"
CONT_AWD_FA480924P0014_9700_-NONE-_-NONE-,FA480924P0014,384175.21,384175.21,2024-01-18,2024,Department of Defense,Department of the Air Force,UCRNZHB4M4X9,KINETIC CONCEPTS LLC,KINETIC CONCEPTS LLC,HYDE,NC,NORTH CAROLINA,PURCHASE ORDER,COUNTER UAS TRAINING FOR F-15,336411,AIRCRAFT MANUFACTURING,NOT COMPETED UNDER SAP,8(A) SOLE SOURCE,1.0,True,KINETIC CONCEPTS LLC
CONT_AWD_FA483023P0025_9700_-NONE-_-NONE-,FA483023P0025,356690.96,356690.96,2023-05-01,2023,Department of Defense,Department of the Air Force,GJMSFBCNMSK3,"ATLANTIC DIVING SUPPLY, INC.","ADS TACTICAL, INC.",VIRGINIA BEACH CITY,VA,VIRGINIA,PURCHASE ORDER,"SKYDIO SUAS STARTER KITS, ACCESSORIES AND TRAINING",336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,SMALL BUSINESS SET ASIDE - TOTAL,4.0,True,"ADS TACTICAL, INC"
CONT_AWD_FA486124P0086_9700_-NONE-_-NONE-,FA486124P0086,1980559.78,1980559.78,2024-06-11,2024,Department of Defense,Department of the Air Force,MFGHL1LNJ6L4,KESTRELX LLC,KESTRELX LLC,CLARK,NV,NEVADA,PURCHASE ORDER,MANNED AIRBORNE PLATFORM TO OPERATE AS AN UNMANNED AIRCRAFT VEHICLE (UAV) AND CRUISE MISSILE TO PROVIDE THE UNITED STATES GOVERNMENT (USG) WITH A COST-EFFECTIVE TRAINING TOOL. FLIGHTS CAN INCLUDE SUPPORTING TWO TO GREATER NUMBER OF MANNED AIRCRAFTS.,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SMALL BUSINESS SET ASIDE - TOTAL,1.0,True,KESTRELX LLC
CONT_AWD_FA489022F0019_9700_FA489018D0010_9700,FA489022F0019,3083090.81,3083090.81,2022-03-09,2022,Department of Defense,Department of the Air Force,YJG1MDHLBC88,"AEROVIRONMENT, INC.","AEROVIRONMENT, INC.",,,,DELIVERY ORDER,"ECUADOR MARITIME INTERDICTION - RAVEN UAS EQUIPMENT, TRAINING, AND LOGISTICS SUPPORT",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"AEROVIRONMENT, INC"
CONT_AWD_FA489023F0039_9700_FA489018D0010_9700,FA489023F0039,3204624.04,3204624.04,2023-03-29,2023,Department of Defense,Department of the Air Force,YJG1MDHLBC88,"AEROVIRONMENT, INC.","AEROVIRONMENT, INC.",,,,DELIVERY ORDER,"FY22 TRANCHE 2 EL SALVADOR CIDT TRAINING AND SUPT - RAVEN UAS EQUIPMENT, TRAINING, AND LOGISTICS SUPPORT",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"AEROVIRONMENT, INC"
CONT_AWD_FA491324P0020_9700_-NONE-_-NONE-,FA491324P0020,257583.2,257583.2,2024-07-31,2024,Department of Defense,Department of the Air Force,UDS8J41UURC6,TITAN DYNAMICS INC,TITAN DYNAMICS INC,,,,PURCHASE ORDER,SUAS SOFTWARE LICENSES FOR AFCENT TF 99,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,NO SET ASIDE USED.,1.0,True,TITAN DYNAMICS INC
CONT_AWD_FA491324P0025_9700_-NONE-_-NONE-,FA491324P0025,338800.0,338800.0,2024-09-23,2024,Department of Defense,Department of the Air Force,R5NWZ87HPLX4,GPC CONSOLIDATED REPORTING,GPC CONSOLIDATED REPORTING,,,,PURCHASE ORDER,10X TIGUAR DRONES AND TRANSPORT CASES FOR TASK FORCE 99,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",COMPETED UNDER SAP,NO SET ASIDE USED.,17.0,True,GPC CONSOLIDATED REPORTING
CONT_AWD_FA491325P0006_9700_-NONE-_-NONE-,FA491325P0006,1235800.0,1235800.0,2025-07-02,2025,Department of Defense,Department of the Air Force,XDZYRNQZF9L6,UAVIONICS TECHNOLOGIES SP. Z O.O.,UAVIONICS TECHNOLOGIES SP. Z O.O.,,,,PURCHASE ORDER,"S-610 TIGUAR XL UNMANNED AERIAL VEHICLE TO INCLUDE AIRFRAME, SERVOS, AUTOPILOT, POWER SUPPLIES, BATTERIES, ENGINE, FUEL TANK. READY TO FLY. DOES NOT INCLUDE DATA LINK RADIO.",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0,True,UAVIONICS TECHNOLOGIES SP. Z O.O
CONT_AWD_FA500424P0021_9700_-NONE-_-NONE-,FA500424P0021,1900000.0,1900000.0,2024-08-30,2024,Department of Defense,Department of the Air Force,CFMHAEJVU8H1,FLIGHTWAVE AEROSPACE SYSTEMS CORPORATION,FLIGHTWAVE AEROSPACE SYSTEMS CORPORATION,LOS ANGELES,CA,CALIFORNIA,PURCHASE ORDER,FLIGHTWAVE EDGE-130 VTOL UAS TACFI,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SMALL BUSINESS SET ASIDE - TOTAL,1.0,True,FLIGHTWAVE AEROSPACE SYSTEMS CORPORATION
CONT_AWD_FA701424P0039_9700_-NONE-_-NONE-,FA701424P0039,612283.0,612283.0,2024-09-13,2024,Department of Defense,Department of the Air Force,LTBJCLHYL5S9,"SKYDIO, INC","SKYDIO, INC",DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA,PURCHASE ORDER,THE AIR FORCE STRATEGIC STUDIES GROUP (SSG) IS PURCHASING 20 SMALL UNMANNED AIRCRAFT SYSTEMS SUAS (DRONES) TO FACILITATE AIRMAN FIELD TRAINING EXERCISES AT VARIOUS USAF BASES.,336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,SMALL BUSINESS SET ASIDE - TOTAL,7.0,True,"SKYDIO, INC"
CONT_AWD_FA852722F0055_9700_FA852719D0034_9700,FA852722F0055,1327917.0,1327917.0,2022-08-26,2022,Department of Defense,Defense Contract Management Agency,JEGFV3LWEJH7,"L3HARRIS TECHNOLOGIES, INC.","L3HARRIS TECHNOLOGIES, INC.",ONEIDA,NY,NEW YORK,DELIVERY ORDER,ENTERPRISE IMAGE QUALITY VERIFICATION PROGRAM (EIQVP)   GLOBAL HAWK,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,,True,"L3HARRIS TECHNOLOGIES, INC"
CONT_AWD_FA852724F0038_9700_FA852724D0034_9700,FA852724F0038,2273069.88,2273069.88,2024-08-08,2024,Department of Defense,Department of the Air Force,JEGFV3LWEJH7,"L3HARRIS TECHNOLOGIES, INC.","L3HARRIS TECHNOLOGIES, INC",MONROE,NY,NEW YORK,DELIVERY ORDER,ENTERPRISE IMAGE QUALITY VERIFICATION PROGRAM (EIQVP) GLOBAL HAWK,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,,True,"L3HARRIS TECHNOLOGIES, INC"
CONT_AWD_FA857722C0001_9700_-NONE-_-NONE-,FA857722C0001,575571989.83,590221891.49,2021-12-17,2022,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DEFINITIVE CONTRACT,MQ-9 REAPER CONTRACTOR LOGISTICS SUPPORT AND SERVICES,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,NO SET ASIDE USED.,1.0,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA857722C0002_9700_-NONE-_-NONE-,FA857722C0002,131824259.38,132547639.29,2022-04-27,2022,Department of Defense,Department of the Air Force,HEBCLD22EJD1,RAYTHEON COMPANY,RTX CORP,COLLIN,TX,TEXAS,DEFINITIVE CONTRACT,CONTRACTOR LOGISTICS SUPPORT (CLS) AND SERVICES APPLICABLE TO THE REAPER MQ-9 SENSOR PROGRAM.,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,NO SET ASIDE USED.,1.0,True,RTX CORP
CONT_AWD_FA857724C0001_9700_-NONE-_-NONE-,FA857724C0001,646404052.0,646404052.0,2023-12-18,2024,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DEFINITIVE CONTRACT,CY24-25 MQ-9 (REAPER) SUPPORT AND SERVICES.,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,NO SET ASIDE USED.,1.0,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA857823F0001_9700_FA869021D1009_9700,FA857823F0001,579624144.92,681827232.15,2022-12-12,2023,Department of Defense,Department of the Air Force,LALWKM623MU7,NORTHROP GRUMMAN SYSTEMS CORPORATION,NORTHROP GRUMMAN CORPORATION,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,CONTRACTOR LOGISTICS SUPPORT AND SERVICES (CLS VII) FOR THE RG-4 GLOBAL HAWK PLATFORM.,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,NORTHROP GRUMMAN CORPORATION
CONT_AWD_FA868922C2004_9700_-NONE-_-NONE-,FA868922C2004,4362102.0,4362102.0,2021-10-20,2022,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DEFINITIVE CONTRACT,MQ-9 REAPER FRANCE CRITICAL SPARES,336411,AIRCRAFT MANUFACTURING,NOT AVAILABLE FOR COMPETITION,NO SET ASIDE USED.,1.0,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868922F2008_9700_FA862017D2000_9700,FA868922F2008,10754641.92,10754641.92,2022-02-02,2022,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 AIR VEHICLE SIMULATOR EQUIPMENT,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868922F2200_9700_FA868920D2020_9700,FA868922F2200,2155534.0,2155534.0,2022-09-22,2022,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 AGILE REAPER ENTERPRISE SOLUTIONS (ARES) ENTERPRISE STUDIES AND ANALYSIS,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868922F2201_9700_FA868920D2020_9700,FA868922F2201,3877966.0,4752966.0,2022-08-03,2022,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 COMMAND & CONTROL RESILIENT SATELLITE COMMUNICATION,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,GENERAL ATOMICS
CONT_AWD_FA868922F2400_9700_FA868920D2020_9700,FA868922F2400,128050591.0,128050591.0,2022-05-24,2022,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 REAPER 2022 UNITED STATES MARINE CORPS PRODUCTION BUY,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868922F2401_9700_FA868920D2020_9700,FA868922F2401,77400000.0,77400000.0,2022-05-23,2022,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 REAPER FISCAL YEAR 22 AIRCRAFT PRODUCTION ORDER,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868922F2600_9700_FA868920D2020_9700,FA868922F2600,4651087.9,4651087.9,2022-05-04,2022,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,"MQ-9 REAPER, GROUND CONTROL STATION MONITOR UPGRADES",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,GENERAL ATOMICS
CONT_AWD_FA868922F2602_9700_FA868920D2020_9700,FA868922F2602,20262548.64,20262548.64,2022-09-15,2022,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,"MQ-9 REAPER, GROUND CONTROL STATION MULTI-FUNCTION WORKSTATION RETROFIT KITS",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868922F2607_9700_FA868920D2020_9700,FA868922F2607,20143278.96,14899663.0,2022-03-15,2022,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 BLK 5 FOLLOW-ON REAPER CAPABILITY ENHANCEMENT (FORCE) FINAL ORDER,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868922F2800_9700_FA868920D2020_9700,FA868922F2800,17229197.18,17229197.18,2022-01-07,2022,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 FRANCE AGILE REAPER ENTERPRISE SOLUTION (ARES) MOBILE GROUND CONTROL STATIONS (MGCS),336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868922FB001_9700_FA862017D2000_9700,FA868922FB001,87554261.55,113835804.06,2022-08-26,2022,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 REAPER LEAD OFF HITTER (LOH) 5,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868923C2018_9700_-NONE-_-NONE-,FA868923C2018,470692041.17,471430334.81,2023-04-27,2023,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DEFINITIVE CONTRACT,MQ-9B PRODUCTION FMS TAIWAN,336411,AIRCRAFT MANUFACTURING,NOT AVAILABLE FOR COMPETITION,NO SET ASIDE USED.,1.0,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868923F2001_9700_FA868923D2012_9700,FA868923F2001,30281201.0,31394620.0,2022-12-14,2023,Department of Defense,Department of the Air Force,FRJQGQHDX4J3,"L3 TECHNOLOGIES, INC.","L3HARRIS TECHNOLOGIES, INC",SALT LAKE,UT,UTAH,DELIVERY ORDER,MQ-9 REAPER HARDWARE AND INSTALLATION DO UNDER COMMUNICATION REAPER INTEGRATED UPGRADE SOLUTIONS (CRIUS) IDIQ - SATCOM DMS,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"L3HARRIS TECHNOLOGIES, INC"
CONT_AWD_FA868923F2003_9700_FA868923D2012_9700,FA868923F2003,52170772.0,52170772.0,2023-03-30,2023,Department of Defense,Department of the Air Force,FRJQGQHDX4J3,"L3 TECHNOLOGIES, INC.","L3HARRIS TECHNOLOGIES, INC",SALT LAKE,UT,UTAH,DELIVERY ORDER,MQ-9 REAPER: COMMMUNICATION REAPER INTEGRATED UPGRADE SOLUTIONS - SATELLITE COMMUNICATION (SATCOM) DIMINISHED MANUFACTURING SOURCE UPGRADES,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"L3HARRIS TECHNOLOGIES, INC"
CONT_AWD_FA868923F2250_9700_FA868920D2020_9700,FA868923F2250,41865689.17,42439522.17,2023-06-10,2023,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 REAPER PROLIFERATED LOW EARTH ORBIT (PLEO),336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868923F2452_9700_FA868920D2020_9700,FA868923F2452,93563757.47,93563757.47,2023-09-18,2023,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 REAPER FMS NETHERLANDS - LOT 2 PRODUCTION,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868923F2650_9700_FA868920D2020_9700,FA868923F2650,126270632.93,126415689.93,2023-09-26,2023,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 REAPER OPEN MISSION SYSTEM (OMS) STELLAR RELAY (SR) AND LINK-16 RETROFIT UCA,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868923F2850_9700_FA868920D2020_9700,FA868923F2850,80637544.72,80637544.72,2023-07-14,2023,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 REAPER FOREIGN MILITARY SALES (FMS) ITALY MID LIFE MODERNIZATION LOT 2,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868923F2851_9700_FA868920D2020_9700,FA868923F2851,525995.0,525995.0,2023-02-22,2023,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,"MQ-9 REAPER, FMS TAIWAN STUDY/SITE SURVEY",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,GENERAL ATOMICS
CONT_AWD_FA868923FB001_9700_FA868920D2020_9700,FA868923FB001,12095895.56,12578922.06,2023-07-31,2023,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 REAPER FISCAL YEAR (FY) 23/24 MISSION READINESS CAPABILITY (MRC),336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868923FB002_9700_FA868920D2020_9700,FA868923FB002,15614441.44,15614441.44,2023-06-23,2023,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 REAPER AFSOC RPA CONTROL SUITE (ARCS) - VEHICLE SPECIFIC MODULE (VSM),336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868923FB003_9700_FA868920D2020_9700,FA868923FB003,2211765.0,3917479.0,2023-03-16,2023,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 MALET TECHNICAL SUPPORT AND SERVICES,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868923FB004_9700_FA868920D2020_9700,FA868923FB004,1940493.0,1940493.0,2023-08-23,2023,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 REAPER FY22 PRODUCTION SHUT-DOWN STUDY,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868924C2019_9700_-NONE-_-NONE-,FA868924C2019,6914701.0,6914701.0,2024-01-12,2024,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DEFINITIVE CONTRACT,"MQ-9 REAPER - UCA, PROLIFERATED LOW ORBIT EARTH (PLEO) JOINT URGENT OPERATIONAL NEED (JUON) - FIELD SERVICE REPRESENTATIVE (FSR) SUPPORT",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868924C2020_9700_-NONE-_-NONE-,FA868924C2020,102936807.97,102936807.97,2024-04-17,2024,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DEFINITIVE CONTRACT,"MQ-9 FMS NETHERLANDS, LOT 2 PRODUCTION CUT-IN UCA",336411,AIRCRAFT MANUFACTURING,NOT AVAILABLE FOR COMPETITION,NO SET ASIDE USED.,1.0,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868924F2251_9700_FA868920D2020_9700,FA868924F2251,3921067.79,5503310.38,2023-12-21,2024,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 REAPER CLEAN UP HITTER (CUH) 3.5,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_FA868924F2451_9700_FA868920D2020_9700,FA868924F2451,94358723.59,95682956.59,2024-04-22,2024,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 REAPER JOINT UNION OPERATIONAL NEED PROLIFERLATED LOW EARTH ORBIT PHASE II,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
